FECHA,NOMBRE_DIA,FESTIVO
5/3/2017,MIERCOLES,0
5/4/2017,JUEVES,0
5/5/2017,VIERNES,0
5/6/2017,S핦ADO,0
5/7/2017,DOMINGO,0
5/8/2017,LUNES,0
5/9/2017,MARTES,0
5/10/2017,MIERCOLES,0
5/11/2017,JUEVES,0
5/12/2017,VIERNES,0
5/13/2017,S핦ADO,0
5/14/2017,DOMINGO,DMD
5/15/2017,LUNES,0
5/16/2017,MARTES,0
5/17/2017,MIERCOLES,0
5/18/2017,JUEVES,0
5/19/2017,VIERNES,0
5/20/2017,S핦ADO,0
5/21/2017,DOMINGO,0
5/22/2017,LUNES,0
5/23/2017,MARTES,0
5/24/2017,MIERCOLES,0
5/25/2017,JUEVES,0
5/26/2017,VIERNES,0
5/27/2017,S핦ADO,0
5/28/2017,DOMINGO,0
5/29/2017,LUNES,2
5/30/2017,MARTES,0
5/31/2017,MIERCOLES,0
6/1/2017,JUEVES,0
6/2/2017,VIERNES,0
6/3/2017,S핦ADO,0
6/4/2017,DOMINGO,0
6/5/2017,LUNES,0
6/6/2017,MARTES,0
6/7/2017,MIERCOLES,0
6/8/2017,JUEVES,0
6/9/2017,VIERNES,0
6/10/2017,S핦ADO,0
6/11/2017,DOMINGO,0
6/12/2017,LUNES,0
6/13/2017,MARTES,0
6/14/2017,MIERCOLES,0
6/15/2017,JUEVES,0
6/16/2017,VIERNES,0
6/17/2017,S핦ADO,0
6/18/2017,DOMINGO,DPD
6/19/2017,LUNES,2
6/20/2017,MARTES,0
6/21/2017,MIERCOLES,0
6/22/2017,JUEVES,0
6/23/2017,VIERNES,0
6/24/2017,S핦ADO,0
6/25/2017,DOMINGO,0
6/26/2017,LUNES,2
6/27/2017,MARTES,0
6/28/2017,MIERCOLES,0
6/29/2017,JUEVES,0
6/30/2017,VIERNES,0
7/1/2017,S핦ADO,0
7/2/2017,DOMINGO,0
7/3/2017,LUNES,2
7/4/2017,MARTES,0
7/5/2017,MIERCOLES,0
7/6/2017,JUEVES,0
7/7/2017,VIERNES,0
7/8/2017,S핦ADO,0
7/9/2017,DOMINGO,0
7/10/2017,LUNES,0
7/11/2017,MARTES,0
7/12/2017,MIERCOLES,0
7/13/2017,JUEVES,0
7/14/2017,VIERNES,0
7/15/2017,S핦ADO,0
7/16/2017,DOMINGO,0
7/17/2017,LUNES,0
7/18/2017,MARTES,0
7/19/2017,MIERCOLES,0
7/20/2017,JUEVES,2
7/21/2017,VIERNES,0
7/22/2017,S핦ADO,0
7/23/2017,DOMINGO,0
7/24/2017,LUNES,0
7/25/2017,MARTES,0
7/26/2017,MIERCOLES,0
7/27/2017,JUEVES,0
7/28/2017,VIERNES,FDF
7/29/2017,S핦ADO,FDF
7/30/2017,DOMINGO,FDF
7/31/2017,LUNES,FDF
8/1/2017,MARTES,FDF
8/2/2017,MIERCOLES,FDF
8/3/2017,JUEVES,FDF
8/4/2017,VIERNES,FDF
8/5/2017,S핦ADO,FDF
8/6/2017,DOMINGO,FDF
8/7/2017,LUNES,2
8/8/2017,MARTES,0
8/9/2017,MIERCOLES,0
8/10/2017,JUEVES,0
8/11/2017,VIERNES,0
8/12/2017,S핦ADO,0
8/13/2017,DOMINGO,0
8/14/2017,LUNES,0
8/15/2017,MARTES,0
8/16/2017,MIERCOLES,0
8/17/2017,JUEVES,0
8/18/2017,VIERNES,0
8/19/2017,S핦ADO,0
8/20/2017,DOMINGO,0
8/21/2017,LUNES,2
8/22/2017,MARTES,0
8/23/2017,MIERCOLES,0
8/24/2017,JUEVES,0
8/25/2017,VIERNES,0
8/26/2017,S핦ADO,0
8/27/2017,DOMINGO,0
8/28/2017,LUNES,0
8/29/2017,MARTES,0
8/30/2017,MIERCOLES,0
8/31/2017,JUEVES,0
9/1/2017,VIERNES,0
9/2/2017,S핦ADO,0
9/3/2017,DOMINGO,0
9/4/2017,LUNES,0
9/5/2017,MARTES,0
9/6/2017,MIERCOLES,0
9/7/2017,JUEVES,0
9/8/2017,VIERNES,0
9/9/2017,S핦ADO,0
9/10/2017,DOMINGO,0
9/11/2017,LUNES,0
9/12/2017,MARTES,0
9/13/2017,MIERCOLES,0
9/14/2017,JUEVES,0
9/15/2017,VIERNES,0
9/16/2017,S핦ADO,SVT
9/17/2017,DOMINGO,0
9/18/2017,LUNES,0
9/19/2017,MARTES,0
9/20/2017,MIERCOLES,0
9/21/2017,JUEVES,0
9/22/2017,VIERNES,0
9/23/2017,S핦ADO,0
9/24/2017,DOMINGO,0
9/25/2017,LUNES,0
9/26/2017,MARTES,0
9/27/2017,MIERCOLES,0
9/28/2017,JUEVES,0
9/29/2017,VIERNES,0
9/30/2017,S핦ADO,0
10/1/2017,DOMINGO,0
10/2/2017,LUNES,0
10/3/2017,MARTES,0
10/4/2017,MIERCOLES,0
10/5/2017,JUEVES,0
10/6/2017,VIERNES,0
10/7/2017,S핦ADO,0
10/8/2017,DOMINGO,0
10/9/2017,LUNES,0
10/10/2017,MARTES,0
10/11/2017,MIERCOLES,0
10/12/2017,JUEVES,0
10/13/2017,VIERNES,0
10/14/2017,S핦ADO,0
10/15/2017,DOMINGO,0
10/16/2017,LUNES,2
10/17/2017,MARTES,0
10/18/2017,MIERCOLES,0
10/19/2017,JUEVES,0
10/20/2017,VIERNES,0
10/21/2017,S핦ADO,0
10/22/2017,DOMINGO,0
10/23/2017,LUNES,0
10/24/2017,MARTES,0
10/25/2017,MIERCOLES,0
10/26/2017,JUEVES,0
10/27/2017,VIERNES,0
10/28/2017,S핦ADO,0
10/29/2017,DOMINGO,0
10/30/2017,LUNES,0
10/31/2017,MARTES,HWN
11/1/2017,MIERCOLES,0
11/2/2017,JUEVES,0
11/3/2017,VIERNES,0
11/4/2017,S핦ADO,0
11/5/2017,DOMINGO,0
11/6/2017,LUNES,2
11/7/2017,MARTES,0
11/8/2017,MIERCOLES,0
11/9/2017,JUEVES,0
11/10/2017,VIERNES,0
11/11/2017,S핦ADO,0
11/12/2017,DOMINGO,0
11/13/2017,LUNES,2
11/14/2017,MARTES,0
11/15/2017,MIERCOLES,0
11/16/2017,JUEVES,0
11/17/2017,VIERNES,0
11/18/2017,S핦ADO,0
11/19/2017,DOMINGO,0
11/20/2017,LUNES,0
11/21/2017,MARTES,0
11/22/2017,MIERCOLES,0
11/23/2017,JUEVES,0
11/24/2017,VIERNES,0
11/25/2017,S핦ADO,0
11/26/2017,DOMINGO,0
11/27/2017,LUNES,0
11/28/2017,MARTES,0
11/29/2017,MIERCOLES,0
11/30/2017,JUEVES,0
12/1/2017,VIERNES,ALB
12/2/2017,S핦ADO,0
12/3/2017,DOMINGO,0
12/4/2017,LUNES,0
12/5/2017,MARTES,0
12/6/2017,MIERCOLES,0
12/7/2017,JUEVES,DVT
12/8/2017,VIERNES,2
12/9/2017,S핦ADO,0
12/10/2017,DOMINGO,0
12/11/2017,LUNES,0
12/12/2017,MARTES,0
12/13/2017,MIERCOLES,0
12/14/2017,JUEVES,0
12/15/2017,VIERNES,0
12/16/2017,S핦ADO,0
12/17/2017,DOMINGO,0
12/18/2017,LUNES,0
12/19/2017,MARTES,0
12/20/2017,MIERCOLES,0
12/21/2017,JUEVES,0
12/22/2017,VIERNES,0
12/23/2017,S핦ADO,0
12/24/2017,DOMINGO,0
12/25/2017,LUNES,2
12/26/2017,MARTES,VAC
12/27/2017,MIERCOLES,VAC
12/28/2017,JUEVES,VAC
12/29/2017,VIERNES,VAC
12/30/2017,S핦ADO,VAC
12/31/2017,DOMINGO,FDA
1/1/2018,LUNES,2
1/2/2018,MARTES,VAC
1/3/2018,MIERCOLES,VAC
1/4/2018,JUEVES,VAC
1/5/2018,VIERNES,VAC
1/6/2018,S핦ADO,0
1/7/2018,DOMINGO,0
1/8/2018,LUNES,2
1/9/2018,MARTES,0
1/10/2018,MIERCOLES,0
1/11/2018,JUEVES,0
1/12/2018,VIERNES,0
1/13/2018,S핦ADO,0
1/14/2018,DOMINGO,0
1/15/2018,LUNES,0
1/16/2018,MARTES,0
1/17/2018,MIERCOLES,0
1/18/2018,JUEVES,0
1/19/2018,VIERNES,0
1/20/2018,S핦ADO,0
1/21/2018,DOMINGO,0
1/22/2018,LUNES,0
1/23/2018,MARTES,0
1/24/2018,MIERCOLES,0
1/25/2018,JUEVES,0
1/26/2018,VIERNES,0
1/27/2018,S핦ADO,0
1/28/2018,DOMINGO,0
1/29/2018,LUNES,0
1/30/2018,MARTES,0
1/31/2018,MIERCOLES,0
2/1/2018,JUEVES,0
2/2/2018,VIERNES,0
2/3/2018,S핦ADO,0
2/4/2018,DOMINGO,0
2/5/2018,LUNES,0
2/6/2018,MARTES,0
2/7/2018,MIERCOLES,0
2/8/2018,JUEVES,0
2/9/2018,VIERNES,0
2/10/2018,S핦ADO,0
2/11/2018,DOMINGO,0
2/12/2018,LUNES,0
2/13/2018,MARTES,0
2/14/2018,MIERCOLES,SVT
2/15/2018,JUEVES,0
2/16/2018,VIERNES,0
2/17/2018,S핦ADO,0
2/18/2018,DOMINGO,0
2/19/2018,LUNES,0
2/20/2018,MARTES,0
2/21/2018,MIERCOLES,0
2/22/2018,JUEVES,0
2/23/2018,VIERNES,0
2/24/2018,S핦ADO,0
2/25/2018,DOMINGO,0
2/26/2018,LUNES,0
2/27/2018,MARTES,0
2/28/2018,MIERCOLES,0
3/1/2018,JUEVES,0
3/2/2018,VIERNES,0
3/3/2018,S핦ADO,0
3/4/2018,DOMINGO,0
3/5/2018,LUNES,0
3/6/2018,MARTES,0
3/7/2018,MIERCOLES,0
3/8/2018,JUEVES,0
3/9/2018,VIERNES,0
3/10/2018,S핦ADO,0
3/11/2018,DOMINGO,0
3/12/2018,LUNES,0
3/13/2018,MARTES,0
3/14/2018,MIERCOLES,0
3/15/2018,JUEVES,0
3/16/2018,VIERNES,0
3/17/2018,S핦ADO,0
3/18/2018,DOMINGO,0
3/19/2018,LUNES,2
3/20/2018,MARTES,0
3/21/2018,MIERCOLES,0
3/22/2018,JUEVES,0
3/23/2018,VIERNES,0
3/24/2018,S핦ADO,SMS
3/25/2018,DOMINGO,2
3/26/2018,LUNES,SMS
3/27/2018,MARTES,SMS
3/28/2018,MIERCOLES,SMS
3/29/2018,JUEVES,2
3/30/2018,VIERNES,2
3/31/2018,S핦ADO,SMS
4/1/2018,DOMINGO,2
4/2/2018,LUNES,0
4/3/2018,MARTES,0
4/4/2018,MIERCOLES,0
4/5/2018,JUEVES,0
4/6/2018,VIERNES,0
4/7/2018,S핦ADO,0
4/8/2018,DOMINGO,0
4/9/2018,LUNES,0
4/10/2018,MARTES,0
4/11/2018,MIERCOLES,0
4/12/2018,JUEVES,0
4/13/2018,VIERNES,0
4/14/2018,S핦ADO,0
4/15/2018,DOMINGO,0
4/16/2018,LUNES,0
4/17/2018,MARTES,0
4/18/2018,MIERCOLES,0
4/19/2018,JUEVES,0
4/20/2018,VIERNES,0
4/21/2018,S핦ADO,0
4/22/2018,DOMINGO,0
4/23/2018,LUNES,0
4/24/2018,MARTES,0
4/25/2018,MIERCOLES,0
4/26/2018,JUEVES,0
4/27/2018,VIERNES,0
4/28/2018,S핦ADO,0
4/29/2018,DOMINGO,0
4/30/2018,LUNES,0
5/1/2018,MARTES,2
5/2/2018,MIERCOLES,0
5/3/2018,JUEVES,0
5/4/2018,VIERNES,0
5/5/2018,S핦ADO,0
5/6/2018,DOMINGO,0
5/7/2018,LUNES,0
5/8/2018,MARTES,0
5/9/2018,MIERCOLES,0
5/10/2018,JUEVES,0
5/11/2018,VIERNES,0
5/12/2018,S핦ADO,0
5/13/2018,DOMINGO,DMD
5/14/2018,LUNES,2
5/15/2018,MARTES,0
5/16/2018,MIERCOLES,0
5/17/2018,JUEVES,0
5/18/2018,VIERNES,0
5/19/2018,S핦ADO,0
5/20/2018,DOMINGO,0
5/21/2018,LUNES,0
5/22/2018,MARTES,0
5/23/2018,MIERCOLES,0
5/24/2018,JUEVES,0
5/25/2018,VIERNES,0
5/26/2018,S핦ADO,0
5/27/2018,DOMINGO,ELE
5/28/2018,LUNES,0
5/29/2018,MARTES,0
5/30/2018,MIERCOLES,0
5/31/2018,JUEVES,0
6/1/2018,VIERNES,0
6/2/2018,S핦ADO,0
6/3/2018,DOMINGO,0
6/4/2018,LUNES,2
6/5/2018,MARTES,0
6/6/2018,MIERCOLES,0
6/7/2018,JUEVES,0
6/8/2018,VIERNES,0
6/9/2018,S핦ADO,0
6/10/2018,DOMINGO,0
6/11/2018,LUNES,2
6/12/2018,MARTES,0
6/13/2018,MIERCOLES,0
6/14/2018,JUEVES,0
6/15/2018,VIERNES,0
6/16/2018,S핦ADO,0
6/17/2018,DOMINGO,DPD
6/18/2018,LUNES,0
6/19/2018,MARTES,0
6/20/2018,MIERCOLES,0
6/21/2018,JUEVES,0
6/22/2018,VIERNES,0
6/23/2018,S핦ADO,0
6/24/2018,DOMINGO,0
6/25/2018,LUNES,0
6/26/2018,MARTES,0
6/27/2018,MIERCOLES,0
6/28/2018,JUEVES,0
6/29/2018,VIERNES,0
6/30/2018,S핦ADO,0
7/1/2018,DOMINGO,MOG
7/2/2018,LUNES,2
7/3/2018,MARTES,0
7/4/2018,MIERCOLES,0
7/5/2018,JUEVES,0
7/6/2018,VIERNES,0
7/7/2018,S핦ADO,0
7/8/2018,DOMINGO,0
7/9/2018,LUNES,0
7/10/2018,MARTES,0
7/11/2018,MIERCOLES,0
7/12/2018,JUEVES,0
7/13/2018,VIERNES,0
7/14/2018,S핦ADO,0
7/15/2018,DOMINGO,0
7/16/2018,LUNES,0
7/17/2018,MARTES,0
7/18/2018,MIERCOLES,0
7/19/2018,JUEVES,0
7/20/2018,VIERNES,2
7/21/2018,S핦ADO,0
7/22/2018,DOMINGO,0
7/23/2018,LUNES,0
7/24/2018,MARTES,0
7/25/2018,MIERCOLES,0
7/26/2018,JUEVES,0
7/27/2018,VIERNES,0
7/28/2018,S핦ADO,0
7/29/2018,DOMINGO,0
7/30/2018,LUNES,0
7/31/2018,MARTES,0
8/1/2018,MIERCOLES,0
8/2/2018,JUEVES,0
8/3/2018,VIERNES,FDF
8/4/2018,S핦ADO,FDF
8/5/2018,DOMINGO,FDF
8/6/2018,LUNES,FDF
8/7/2018,MARTES,FDF
8/8/2018,MIERCOLES,FDF
8/9/2018,JUEVES,FDF
8/10/2018,VIERNES,FDF
8/11/2018,S핦ADO,FDF
8/12/2018,DOMINGO,FDF
8/13/2018,LUNES,0
8/14/2018,MARTES,0
8/15/2018,MIERCOLES,0
8/16/2018,JUEVES,0
8/17/2018,VIERNES,0
8/18/2018,S핦ADO,0
8/19/2018,DOMINGO,0
8/20/2018,LUNES,2
8/21/2018,MARTES,0
8/22/2018,MIERCOLES,0
8/23/2018,JUEVES,0
8/24/2018,VIERNES,0
8/25/2018,S핦ADO,0
8/26/2018,DOMINGO,0
8/27/2018,LUNES,0
8/28/2018,MARTES,0
8/29/2018,MIERCOLES,0
8/30/2018,JUEVES,0
8/31/2018,VIERNES,0
9/1/2018,S핦ADO,0
9/2/2018,DOMINGO,0
9/3/2018,LUNES,0
9/4/2018,MARTES,0
9/5/2018,MIERCOLES,0
9/6/2018,JUEVES,0
9/7/2018,VIERNES,0
9/8/2018,S핦ADO,0
9/9/2018,DOMINGO,0
9/10/2018,LUNES,0
9/11/2018,MARTES,0
9/12/2018,MIERCOLES,0
9/13/2018,JUEVES,0
9/14/2018,VIERNES,0
9/15/2018,S핦ADO,SVT
9/16/2018,DOMINGO,0
9/17/2018,LUNES,0
9/18/2018,MARTES,0
9/19/2018,MIERCOLES,0
9/20/2018,JUEVES,0
9/21/2018,VIERNES,0
9/22/2018,S핦ADO,0
9/23/2018,DOMINGO,0
9/24/2018,LUNES,0
9/25/2018,MARTES,0
9/26/2018,MIERCOLES,0
9/27/2018,JUEVES,0
9/28/2018,VIERNES,0
9/29/2018,S핦ADO,0
9/30/2018,DOMINGO,0
10/1/2018,LUNES,0
10/2/2018,MARTES,0
10/3/2018,MIERCOLES,0
10/4/2018,JUEVES,0
10/5/2018,VIERNES,0
10/6/2018,S핦ADO,0
10/7/2018,DOMINGO,0
10/8/2018,LUNES,0
10/9/2018,MARTES,0
10/10/2018,MIERCOLES,0
10/11/2018,JUEVES,0
10/12/2018,VIERNES,0
10/13/2018,S핦ADO,0
10/14/2018,DOMINGO,0
10/15/2018,LUNES,2
10/16/2018,MARTES,0
10/17/2018,MIERCOLES,0
10/18/2018,JUEVES,0
10/19/2018,VIERNES,0
10/20/2018,S핦ADO,0
10/21/2018,DOMINGO,0
10/22/2018,LUNES,0
10/23/2018,MARTES,0
10/24/2018,MIERCOLES,0
10/25/2018,JUEVES,0
10/26/2018,VIERNES,0
10/27/2018,S핦ADO,0
10/28/2018,DOMINGO,0
10/29/2018,LUNES,0
10/30/2018,MARTES,0
10/31/2018,MIERCOLES,HWN
11/1/2018,JUEVES,0
11/2/2018,VIERNES,0
11/3/2018,S핦ADO,0
11/4/2018,DOMINGO,0
11/5/2018,LUNES,2
11/6/2018,MARTES,0
11/7/2018,MIERCOLES,0
11/8/2018,JUEVES,0
11/9/2018,VIERNES,0
11/10/2018,S핦ADO,0
11/11/2018,DOMINGO,0
11/12/2018,LUNES,2
11/13/2018,MARTES,0
11/14/2018,MIERCOLES,0
11/15/2018,JUEVES,0
11/16/2018,VIERNES,0
11/17/2018,S핦ADO,0
11/18/2018,DOMINGO,0
11/19/2018,LUNES,0
11/20/2018,MARTES,0
11/21/2018,MIERCOLES,0
11/22/2018,JUEVES,0
11/23/2018,VIERNES,0
11/24/2018,S핦ADO,0
11/25/2018,DOMINGO,0
11/26/2018,LUNES,0
11/27/2018,MARTES,0
11/28/2018,MIERCOLES,0
11/29/2018,JUEVES,0
11/30/2018,VIERNES,0
12/1/2018,S핦ADO,ALB
12/2/2018,DOMINGO,0
12/3/2018,LUNES,0
12/4/2018,MARTES,0
12/5/2018,MIERCOLES,0
12/6/2018,JUEVES,0
12/7/2018,VIERNES,DVT
12/8/2018,S핦ADO,2
12/9/2018,DOMINGO,0
12/10/2018,LUNES,0
12/11/2018,MARTES,0
12/12/2018,MIERCOLES,0
12/13/2018,JUEVES,0
12/14/2018,VIERNES,0
12/15/2018,S핦ADO,0
12/16/2018,DOMINGO,0
12/17/2018,LUNES,0
12/18/2018,MARTES,0
12/19/2018,MIERCOLES,0
12/20/2018,JUEVES,0
12/21/2018,VIERNES,0
12/22/2018,S핦ADO,0
12/23/2018,DOMINGO,0
12/24/2018,LUNES,0
12/25/2018,MARTES,2
12/26/2018,MIERCOLES,VAC
12/27/2018,JUEVES,VAC
12/28/2018,VIERNES,VAC
12/29/2018,S핦ADO,VAC
12/30/2018,DOMINGO,VAC
12/31/2018,LUNES,FDA
